Organisation;Adresse;PLZ;Ort;Telefon;Telefax;E-Mail;Internetadresse
Bundesanstalt Technisches Hilfswerk;Provinzialstraße 93;53127;Bonn;+49 228 940-0;+49 228 940-1520;poststelle@thw.de;https://www.thw.de/DE/Startseite/startseite_node.html
Bundesanzeiger Verlag GmbH;Amsterdamer Straße 192;50735;Köln;+49 221 97668-0;+49 221 97668-278;service@bundesanzeiger.de;https://www.bundesanzeiger.de/ebanzwww/wexsservlet
Bundesarbeitsgemeinschaft Evangelische Jugendsozialarbeit e.V.;Wagenburgstr. 26 - 28;70184;Stuttgart;+49 711 164 89-0;+49 711 16489-21;mail@bagejsa.de;https://www.bagejsa.de/
Bundesarbeitsgemeinschaft Katholische Jugendsozialarbeit e. V.;Carl-Mosterts-Platz 1;40477;Düsseldorf;+49 211 94485-0;+49 211 486509;bagkjs@bagkjs.de;https://www.bagkjs.de
Bundesarbeitsgemeinschaft Kinder- und Jugendschutz e. V.;Mühlendamm 3;10178;Berlin;+49 30 40040300;+49 30 40040 333;info@bag-jugendschutz.de;https://www.bag-jugendschutz.de/de/Index
Bundesarbeitsgericht;Hugo-Preuß-Platz 1;99084;Erfurt;+49 361 2636-0;+49 361 2636-2000;bag@bundesarbeitsgericht.de;https://www.bundesarbeitsgericht.de/
Bundesarchiv;Potsdamer Straße 1;56075;Koblenz;+49 261 505-0;+49 261 505-1803;poststelle@bundesarchiv.de;https://www.bundesarchiv.de/DE/Navigation/Home/home.html
Bundesaufsichtsamt für Flugsicherung;Monzastraße 1;63225;Langen;+49 6103 8043-0;;poststelle@baf.bund.de;https://www.baf.bund.de/DE/Home/home_node.html
Bundesausgleichsamt;Saalburgstraße 157;61350;Bad Homburg v.d. Höhe;+49 3018 7030-0;+49 3018 7030-3450;bundesausgleichsamt@badv.bund.de;https://www.badv.bund.de/DE/Home/home_node.html
Bundesbeauftragte für den Datenschutz und die Informationsfreiheit;Graurheindorfer Straße 153;53117;Bonn;+49 228 99 77 99-0;;Poststelle@bfdi.bund.de;https://www.bfdi.bund.de/DE/Home/home_node.html
Bundesbeauftragter für Wirtschaftlichkeit in der Verwaltung;Adenauerallee 81;53113;Bonn;+49 1606966016;+49 22899 721-1107;BWV-Servicestelle@brh.bund.de;https://www.bundesrechnungshof.de/DE/6_der_bwv/der_bwv_verteilerseite_node.html
Bundesdruckerei GmbH;Kommandantenstraße 18;10969;Berlin;+49 30 2598-0;+49 30 2598-2205;info@bundesdruckerei.de;https://www.bundesdruckerei.de/de
Bundeseisenbahnvermögen;Kurt-Georg-Kiesinger-Allee 2;53175;Bonn;+49 228 3077-0;+49 228 3077-160;bonn@bev.bund.de;https://www.bev.bund.de/DE/Home/home_node.html
Bundesfinanzhof;Ismaninger Straße 109;81675;München;+49 89 9231-0;+49 89 9231-201;bundesfinanzhof@bfh.bund.de;https://www.bundesfinanzhof.de/de/
Bundesgerichtshof;Herrenstraße 45a;76133;Karlsruhe;+49 721 159-0;+49 721 159-2512;poststelle@bgh.bund.de;https://www.bundesgerichtshof.de/DE/Home/home_node.html
Bundesinstitut für Arzneimittel und Medizinprodukte;Kurt-Georg-Kiesinger-Allee 3;53175;Bonn;+49 22899 307-0;+49 22899 307-5207;poststelle@bfarm.de;https://www.bfarm.de/DE/Home/_node.html
Bundesinstitut für Berufsbildung;Friedrich-Ebert-Allee 114-116;53113;Bonn;+49 228 107-0;;zentrale@bibb.de;https://www.bibb.de/
Bundesinstitut für Bevölkerungsforschung;Friedrich-Ebert-Allee 4;65185;Wiesbaden;+49 611 75-2235;+49 611 75-2235;post@bib.bund.de;https://www.bib.bund.de
Bundesinstitut für Kultur und Geschichte des östlichen Europas;Johann-Justus-Weg 147 a;26127;Oldenburg;+49 441 96195-0;+49 441 96195-33;bkge@bkge.bund.de;https://www.bkge.de/
Bundesinstitut für Öffentliche Gesundheit;Maarweg 149-161;50825;Köln;+49 221 8992-0;+49 221 8992-300;poststelle@bioeg.de;https://www.bioeg.de
Bundesinstitut für Risikobewertung;Max-Dohrn-Straße 8 - 10;10589;Berlin;+49 30 18412-0;+49 30 18412-4741;bfr@bfr.bund.de;https://www.bfr.bund.de/de/start.html
Bundesinstitut für Sportwissenschaft;Graurheindorfer Straße 198 - Haus 7 ;53117;Bonn;+49 22899 640-0;+49 22899 640-9008;info@bisp.de;https://www.bisp.de/DE/Home/home_node.html
Bundeskanzler;Willy-Brandt Straße 1;10557;Berlin;+49 3018 400-0;+49 3018 400-2357;internetpost@bundeskanzler.de;https://www.bundeskanzler.de/bk-de/
Bundeskanzler Helmut Kohl Stiftung;Friedrichstraße 187;10117;Berlin;+49 30 2 2012 7680;;info@bundesstiftung-helmut-kohl.de;https://www.bundesstiftung-helmut-kohl.de/
Bundeskanzler Helmut Schmidt Stiftung;Kattrepel 10;20095;Hamburg;+49 40-1823 1218;;info@helmut-schmidt.de;https://www.helmut-schmidt.de
Bundeskanzler-Willy-Brandt-Stiftung;Wilhelmstraße 43 i;10117;Berlin;+49 30 787707-0;+49 30 787707-50;info@bwbs.de;https://www.willy-brandt.de
Bundeskanzleramt;Willy-Brandt-Straße 1;10557;Berlin;+49 3018 400-0;+49 3018 400-2357;poststelle@bk.bund.de;https://www.bundesregierung.de/Webs/Breg/DE/Bundesregierung/Bundeskanzleramt/bundeskanzleramt.html
Bundeskartellamt;Kaiser-Friedrich-Straße 16;53113;Bonn;+49 228 9499-0;+49 228 9499-400;info@bundeskartellamt.bund.de;https://www.bundeskartellamt.de/DE/Home/home_node.html
Bundeskasse Dienstort Halle;Merseburger Straße 196;06110;Halle;+49 228 303-20300;+49 228 303-20326;bk-hal.gzd@zoll.bund.de;https://www.zrb.bund.de/DE/3_Bundeskasse/Halle/DO_Halle_node.html
Bundeskasse Dienstort Kiel;Kronshagener Weg 105;24116;Kiel;+49 431 20083-3000;+49 431 20083-3010;bk-ki.gzd@zoll.bund.de;https://www.zrb.bund.de/DE/3_Bundeskasse/Kiel/DO_Kiel_node.html
Bundeskasse Dienstort Trier;Dasbachstraße 15;54292;Trier;+49 651 1448-0;+49 651 1448-1001;bk-tr.gzd@zoll.bund.de;https://www.zrb.bund.de/DE/3_Bundeskasse/Trier/DO_Trier_node.html
Bundeskasse Dienstort Weiden;Moosbürger Straße 20;92637;Weiden;+49 228 303-20550;+49 228 303-20720;bk-wen.gzd@zoll.bund.de;https://www.zrb.bund.de/DE/3_Bundeskasse/Weiden/DO_Weiden_node.html
Bundeskriminalamt;Thaerstraße 11;65193;Wiesbaden;+49 611 55-0;+49 611 55-12141;mail@bka.bund.de;https://www.bka.de/DE/Home/home_node.html
Bundeslotsenkammer;Theodorstraße 42-90;22761;Hamburg;+49 40-60 77 60 310;+49 40-60 77 60 399;office@bundeslotsenkammer.de;https://www.bundeslotsenkammer.de/
Bundesministerium der Finanzen;Wilhelmstraße 97;10117;Berlin;+49 3018 682-0;+49 3018 682-3260;Poststelle@bmf.bund.de;https://www.bundesfinanzministerium.de
Bundesministerium der Justiz und für Verbraucherschutz;Anton-Wilhelm-Amo-Straße 37;10117;Berlin;+49 3018 580-0;+49 3018 580-9525;poststelle@bmjv.bund.de;https://www.bmjv.de
Bundesministerium der Verteidigung;Fontainengraben 150;53123;Bonn;+49 228 9924-00;+49 228 9924-45754;poststelle@bmvg.bund.de;https://www.bmvg.de/de
Bundesministerium des Innern;Alt-Moabit 140;10557;Berlin;+49 3018 681-0;+49 3018 681-5500;poststelle@bmi.bund.de;https://www.bmi.bund.de
Bundesministerium für Arbeit und Soziales;Wilhelmstraße 49;10117;Berlin;+49 3018 527-0;+49 3018 527-1830;info@bmas.bund.de;https://www.bmas.de
Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend;Glinkastraße 24;10117;Berlin;+49 30 20 17 91 30;;poststelle@bmfsfj.bund.de;https://www.bmfsfj.de
Bundesministerium für Digitales und Staatsmodernisierung;Englische Straße 30;10587;Berlin;;;info@bmds.bund.de;https://bmds.bund.de
Bundesministerium für Forschung, Technologie und Raumfahrt;Heinemannstraße 2;53175;Bonn;+49 3018 57-0;+49 30 18 57-5270;information@bmftr.bund.de;https://www.bmftr.bund.de/DE/Home/home_node.html
Bundesministerium für Gesundheit;Rochusstraße 1;53123;Bonn;+49 228 9 41-0;;poststelle@bmg.bund.de;https://www.bundesgesundheitsministerium.de/
Bundesministerium für Landwirtschaft, Ernährung und Heimat;Rochusstraße 1;53123;Bonn;+49 228 9 95 29-0;+49 228 9 95 29-42 62;poststelle@bmleh.bund.de;https://www.bmleh.de
Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit;Robert-Schuman-Platz 3;53175;Bonn;+49 3018 305-0;+49 3018 305-3225;poststelle@bmukn.bund.de;https://www.bundesumweltministerium.de
Bundesministerium für Verkehr;Invalidenstraße 44;10115;Berlin;+49 3018 300-0;+49 3018 300-1942;Poststelle@bmv.bund.de;https://www.bmv.de/DE/Home/home/.html
Bundesministerium für Wirtschaft und Energie;Scharnhorststraße 34-37;10115;Berlin;+49 3018 615-0;+49 3018 615-7010;info@bmwe.bund.de;https://www.bundeswirtschaftsministerium.de/Navigation/DE/Home/home.html
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung;Dahlmannstraße 4;53113;Bonn;+49 228 99 535-0;+49 228 535-3500;poststelle@bmz.bund.de;https://www.bmz.de
Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen;Rudi-Dutschke-Straße 4;10969;Berlin;+49 3018 335-0;;poststelle@bmwsb.bund.de;https://www.bmwsb.bund.de/Webs/BMWSB/DE/startseite/startseite-node.html
Bundesnachrichtendienst;Chausseestraße 96-99a;10115;Berlin;+49 30 4146457;;redaktion@bnd.bund.de;https://www.bnd.bund.de/DE/Startseite/startseite_node.html
Bundesnetzagentur;Tulpenfeld 4;53113;Bonn;+49 228 14-0;+49 228 14-8872;Poststelle@BNetzA.de;https://www.bundesnetzagentur.de
Bundesnotarkammer;Anton-Wilhelm-Amo-Straße 34;10117;Berlin;+49 30 3838660;+49 30 38386666;bnotk@bnotk.de;https://www.bnotk.de/
Bundespatentgericht;Cincinnatistraße 64;81549;München;+49 89 69937-0;+49 89 69937-5100;bundespatentgericht@bpatg.bund.de;https://www.bundespatentgericht.de/cms/
Bundespolizei;Heinrich-Mann-Allee 103;14473;Potsdam;+49 331 97997-0;+49 331 97997-1010;bpolp@polizei.bund.de;https://www.bundespolizei.de
Bundespolizeiakademie;Ratzeburger Landstraße 4;23562;Lübeck;+49 451 49055-0;+49 451 49055-5121;bpolak@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/03Akademie/Akademie_node.html
Bundespolizeidirektion 11;Schöneberger Ufer 1;10785;Berlin;+49 30 417074-0;+49 30 417074-1190;bpold11@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/11/d11_node.html
Bundespolizeidirektion Bad Bramstedt;Raaberg 6;24576;Bad Bramstedt;+49 4192 502-0;+49 4192 502-4444;bpold.badbramstedt@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/BadBramstedt/BundespolizeidirektionBadBramstedt.html
Bundespolizeidirektion Berlin;Schnellerstraße 139a-140;12439;Berlin;+49 30 91144-0;+49 30 204561-3900;bpold.berlin@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/Berlin/berlin_node.html
Bundespolizeidirektion Flughafen Frankfurt/Main;Flughafen ;60549;Frankfurt am Main;+49 69 6800-0;+49 30 204 561-4160;bpold.frankfurt@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/Frankfurt/frankfurt_node.html
Bundespolizeidirektion Hannover;Möckernstraße 30;30163;Hannover;+49 511 67675-0;+49 511 67675-1110;bpold.hannover@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/Hannover/hannover_node.html
Bundespolizeidirektion Koblenz;Südallee 15-19;56068;Koblenz;+49 261 399-0;+49 261 399-1199;bpold.koblenz@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/Koblenz/koblenz_node.html
Bundespolizeidirektion München;Infanteriestraße 6;80797;München;+49 89 12149-0;+49 89 12149-1199;bpold.muenchen@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/Muenchen/muenchen_node.html
Bundespolizeidirektion Pirna;Rottwerndorfer Straße 22;01796;Pirna;+49 3501 795-60;+49 30 204561-3650;bpold.pirna@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/Pirna/Pirna_node.html
Bundespolizeidirektion Sankt Augustin;Bundesgrenzschutzstraße 100;53757;Sankt Augustin;+49 2241 238-0;+49 2241 238-1199;bpold.sanktaugustin@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/SanktAugustin/Sankt-Augustin_node.html
Bundespolizeidirektion Stuttgart;Wolfgang-Brumme-Allee 52;71034;Böblingen;+49 7031 2128-0;+49 7031 2128-1170;bpold.stuttgart@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/02Direktionen/Stuttgart/Stuttgart_node.html
Bundespolizeipräsidium;Heinrich-Mann-Allee 103;14473;Potsdam;+49 331 97997-0;+49 331 97997-1010;bpolp@polizei.bund.de;https://www.bundespolizei.de/Web/DE/05Die-Bundespolizei/03Organisation/01Praesidium/Praesidium_node.html
Bundespräsident;Spreeweg 1;10557;Berlin;+49 30 2000-0;;bundespraesidialamt@bpra.bund.de;https://www.bundespraesident.de/DE/startseite/startseite_node.html
Bundespräsidialamt;Spreeweg 1;10557;Berlin;+49 30 2000-0;;bundespraesidialamt@bpra.bund.de;https://www.bundespraesident.de/DE/startseite/startseite_node.html
Bundesrat;Leipziger Straße 3 - 4;10117;Berlin;+49 3018 9100-0;;bundesrat@bundesrat.de;https://www.bundesrat.de/DE/homepage/homepage-node.html
Bundesrechnungshof;Adenauerallee 81;53113;Bonn;+49 228 99 721-0;;aussenkommunikation@brh.bund.de;https://www.bundesrechnungshof.de/DE/0_home/home_node.html
Bundesrechtsanwaltskammer;Littenstraße 9;10179;Berlin;+49 30 284939-0;;zentrale@brak.de;https://www.brak.de/
Bundesrepublik Deutschland - Finanzagentur GmbH;Olof-Palme-Str. 35;60439;Frankfurt am Main;+49 69 25616-0;+49 69 25616-1476;info@deutsche-finanzagentur.de;https://www.deutsche-finanzagentur.de/ueber-uns
Bundessortenamt;Osterfelddamm 80;30627;Hannover;+49 511 9566- 50;+49 511 9566-9600;bsa@bundessortenamt.de;https://www.bundessortenamt.de/bsa/
Bundessozialgericht;Graf-Bernadotte-Platz 5;34119;Kassel;+49 561 3107-460;+49 561 3107-474;pressestelle@bsg.bund.de;https://www.bsg.bund.de/DE/Home/home_node.html
Bundessprachenamt;Horbeller Straße 52;50354;Hürth;+49 2233 593-0;;info@bundessprachenamt.de;https://www.bundeswehr.de/de/organisation/personal/das-bundessprachenamt/bundessprachenamt
Bundesstelle für Eisenbahnunfalluntersuchung;Heinemannstraße 6;53175;Bonn;+49 228 53686?0;+49 228 53686?180;unfalluntersuchung@beu.bund.de;https://www.eisenbahn-unfalluntersuchung.de/BEU/DE/home_node.html
Bundesstelle für Flugunfalluntersuchung;Hermann-Blenk-Straße 16;38108;Braunschweig;+49 531 3548-0;+49 531 3548-246;Pressestelle@bfu-web.de;https://www.bfu-web.de/DE/Home/home_node.html
Bundesstelle für Seeunfalluntersuchung;Bernhard-Nocht-Straße 78;20359;Hamburg;+49 40 3190-8311;+49 40 3190-8340;posteingang@bsu-bund.de;https://www.bsu-bund.de/DE/Home/home_node.html
Bundessteuerberaterkammer;Behrenstraße 42;10117;Berlin;+49 30 240087-0;+49 30 240087-99;zentrale@bstbk.de;https://www.bstbk.de
Bundesstiftung Gleichstellung;Karl-Liebknecht-Straße 34;10178;Berlin;+49 30 9940 570-00;;info@bundesstiftung-gleichstellung.de;https://www.bundesstiftung-gleichstellung.de/
Bundesstiftung Magnus Hirschfeld;Anton-Wilhelm-Amo-Straße 34;10117;Berlin;+49 30 208 987 65-0;+49 30 208 987 65-2;info@mh-stiftung.de;http://www.mh-stiftung.de
Bundesstiftung Mutter und Kind - Schutz des ungeborenen Lebens;Glinkastraße 24;10117;Berlin;+49 30 201 791 30;+49 30 18 555-4400;poststelle@bmbfsfj.bund.de;https://www.bundesstiftung-mutter-und-kind.de/
Bundesstiftung zur Aufarbeitung der SED-Diktatur;Kronenstraße 5;10117;Berlin;+49 30 3198 95-0;+49 30 3198 95-210;buero@bundesstiftung-aufarbeitung.de;https://www.bundesstiftung-aufarbeitung.de/de/start
Bundesverband für Umweltberatung e. V.;Frankfurter Straße 87;97082;Würzburg;+49 931 4973 9165;;service@umweltberatung-info.de;https://www.umweltberatung-info.de/
Bundesverband Öffentlicher Banken Deutschlands e. V.;Lennéstraße 11;10785;Berlin;+49 30 8192-0;;info@voeb.de;https://www.voeb.de/startseite
Bundesvereinigung der kommunalen Spitzenverbände;Lennéstraße 11;10785;Berlin;+49 30 590097-309;+49 30 590097-400;info@landkreistag.de;
Bundesvereinigung Prävention und Gesundheitsförderung e. V.;Heilsbachstraße 30;53123;Bonn;+49 228 98 727-0;;info@bvpraevention.de;https://bvpraevention.de/cms/index.asp?newbv
Bundesverfassungsgericht;Schlossbezirk 3;76131;Karlsruhe;+49 721 9101-0;+49 721 9101-382;bverfg@bundesverfassungsgericht.de;https://www.bundesverfassungsgericht.de/
Bundesverwaltungsamt;Barbarastraße 1;50735;Köln;+49 221 758-0;+49 221 758-41747;kommunikation@bva.bund.de;https://www.bva.bund.de/DE/Home/home_node.html
Bundesverwaltungsgericht;Simsonplatz 1;04107;Leipzig;+49 341 2007-0;+49 341 2007-1000;post@bverwg.bund.de;https://www.bverwg.de/
Bundeswahlbeauftragter für die Sozialversicherungswahlen;Taubenstraße 4-6;10117;Berlin;+49 18 88 527-2555;+49 18 88 527-1204;bwb@bmas.bund.de;https://www.bmas.de/DE/Soziales/Sozialversicherung/Sozialversicherungswahlen/der-bundeswahlbeauftragte-und-seine-stellvertreterin.html
Bundeswahlleiterin;Gustav-Stresemann-Ring 11;65189;Wiesbaden;+49 611 75-4863;+49 611 75-3964;post@bundeswahlleiter.de;https://www.bundeswahlleiterin.de/
Bundeswehr-Dienstleistungszentrum Aachen;Debyestraße 21;52078;Aachen;+49 241 561-0;;BwDLZAachen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-aachen
Bundeswehr-Dienstleistungszentrum Amberg;Kümmersbrucker Straße 1;92224;Amberg;+49 9621 7847-0;;BwDLZAmberg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-amberg
Bundeswehr-Dienstleistungszentrum Augustdorf;Lopshorner Weg 49;32832;Augustdorf;+49 5237 91-0;;BwDLZAugustdorf@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-augustdorf
Bundeswehr-Dienstleistungszentrum Bad Reichenhall;Von-Martius-Straße 7;83435;Bad Reichenhall;+49 8651 79-0;;BwDLZBadReichenhall@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-bad-reichenhall
Bundeswehr-Dienstleistungszentrum Bergen;Bergen-Hohne MB 28;29303;Lohheide;+49 5051 475-0;;BwDLZBergen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-bergen
Bundeswehr-Dienstleistungszentrum Berlin;Kurt-Schumacher-Damm 41;13405;Berlin;+49 30 4981-0;;BwDLZBerlin@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-berlin
Bundeswehr-Dienstleistungszentrum Bogen;Bayerwaldstraße 26;94327;Bogen;+49 9422 808-0;;BwDLZBogen@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-bogen
Bundeswehr-Dienstleistungszentrum Bonn;Euskirchener Straße 80;53121;Bonn;+49 228 96201-;;BwDLZBonn@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-bonn
Bundeswehr-Dienstleistungszentrum Bruchsal;Karlsruher Straße 25-27;76646;Bruchsal;+49 7251 98254-0;;BwDLZBruchsal@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-bruchsal
Bundeswehr-Dienstleistungszentrum Burg;Thomas-Müntzer-Straße 5 b;39288;Burg;+49 3921 90-0;;BwDLZBurg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-burg
Bundeswehr-Dienstleistungszentrum Doberlug-Kirchhain;Torgauer Straße 90;03253;Doberlug-Kirchhain;+49 35322 52-0;;BwDLZDoberlugKirchhain@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-doberlug-kirchhain
Bundeswehr-Dienstleistungszentrum Dresden;August-Bebel-Straße 19;01219;Dresden;+49 351 4654-0;;BwDLZDresden@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-dresden
Bundeswehr-Dienstleistungszentrum Erfurt;Thälmannstraße 60;99085;Erfurt;+49 361 342-60;;BwDLZErfurt@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-erfurt
Bundeswehr-Dienstleistungszentrum Hamburg;Osdorfer Landstraße 365;22589;Hamburg;+49 40 86648-0;;BwDLZHamburg@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/bundeswehr-dienstleistungszentren/bwdlz-hamburg
